lista_de_imóveis_da_caixa,unnamed:_1,data_de_geração:,24/01/2025,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10
 N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso
 8787706130840 ,DF ,BRASILIA ,SETOR MEIRELES ,"RUA 200, N. SN, Apto 301, BL 11 ","82.550,28","141.000,00",41.46,"Apartamento, 0.00 de área total, 44.96 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706130840
 8787700428805 ,DF ,BRASILIA ,RIACHO FUNDO II ,"QUADRA QN 23, N. SN, Apto 302, CJ 02, BL 08, LT 01-04 ","123.904,77","205.000,00",39.56,"Apartamento, 0.00 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700428805
 8787707122108 ,DF ,BRASILIA ,SETOR MEIRELES (SANTA MARIA) ,"RUA 200, N. SN, Apto 104, BL 12, LT 201 ","114.838,57","190.000,00",39.56,"Apartamento, 0.00 de área total, 70.75 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707122108
 1444420391250 ,DF ,BRASILIA ,TAGUATINGA CENTRO (TAGUATINGA) ,"SETOR  HOTELEIRO, PROJECAO D, N. SN, Apto 301, SETOR HOTELEIRO ","105.919,15","171.500,00",38.24,"Apartamento, 0.00 de área total, 33.65 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444420391250
 1555513520753 ,DF ,BRASILIA ,TAGUATINGA NORTE ,"SETOR C NORTE, N. SN, Apto 1102, BL 03 ","238.992,86","375.000,00",36.27,"Apartamento, 0.00 de área total, 73.35 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555513520753
 1787701290981 ,DF ,BRASILIA ,SETOR MEIRELES SANTA ,"AVENIDA MONUMENTAL, N. SN, Apto 101, BL 03, LT 05, COND 17 ","175.261,43","275.000,00",36.27,"Apartamento, 0.00 de área total, 94.06 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701290981
 1444407899130 ,DF ,BRASILIA ,SETOR OESTE (GAMA) ,"QUADRA 4, N. SN, LT 38, QD 04 ","173.650,94","272.473,00",36.27,"Casa, 0.00 de área total, 127.31 de área privativa, 275.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407899130
 1555523081710 ,DF ,BRASILIA ,SETOR INDUSTRIAL (TAGUATINGA) ,"QUADRA QI 24, N. SN, Apto 906, TORRE A LT 1 A 13 ","210.313,72","330.000,00",36.27,"Apartamento, 0.00 de área total, 52.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555523081710
 1444400427276 ,DF ,BRASILIA ,TAGUATINGA NORTE (TAGUATINGA) ,"QUADRA QNM 42, N. SN, LT 32 CJ G ","395.134,87","620.000,00",36.27,"Casa, 0.00 de área total, 37.00 de área privativa, 250.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400427276
 1555516742277 ,DF ,BRASILIA ,SANTA MARIA ,"QUADRA 210, N. SN, LT 17 CJ J ","152.955,43","240.000,00",36.27,"Casa, 0.00 de área total, 93.11 de área privativa, 150.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555516742277
 1444401625861 ,DF ,BRASILIA ,CRUZEIRO NOVO ,"QUADRA 105, N. SN, Apto 304, BL D, SHCE SUL ","286.791,44","450.000,00",36.27,"Apartamento, 0.00 de área total, 61.18 de área privativa, 0.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401625861
 1444400306282 ,DF ,BRASILIA ,ASA NORTE ,"SUPERQUADR  NORTE 305, N. SN, Apto 108, BL.C - VG N.12 ","484.695,13","750.000,00",35.38,"Apartamento, 0.00 de área total, 76.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400306282
 1444405808863 ,DF ,BRASILIA ,ASA NORTE ,"SETOR SHCGNORTE, N. SN, Apto 303, BL R QD 706 ","438.275,13","550.000,00",20.32,"Apartamento, 0.00 de área total, 50.54 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405808863
 1555535487023 ,DF ,BRASILIA ,SAMAMBAIA SUL (SAMAMBAIA) ,"CONJUNTO 3 QUADRA 101, N. ., Apto 501, LT. 3,16-20 ","337.609,33","400.000,00",15.60,"Apartamento, 0.00 de área total, 67.35 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555535487023
 1555516255546 ,DF ,BRASILIA ,AGUAS CLARAS ,"PRAÇA JURITI, N. SN, Apto 803, QD 103 LT 08 ","400.000,00","400.000,00",0.00,"Apartamento, 0.00 de área total, 65.19 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555516255546
 8787701514896 ,DF ,BRASILIA ,LOT RES 17 ,"AVENIDA MONUMENTAL, N. SN, Apto 204, BL R ","180.000,00","180.000,00",0.00,"Apartamento, 0.00 de área total, 45.17 de área privativa, 0.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701514896
 8787709558000 ,DF ,BRASILIA ,SETOR MEIRELES ,"RUA 100, N. SN, Apto 304, BL 26 LT 102 ","225.000,00","225.000,00",0.00,"Apartamento, 0.00 de área total, 60.50 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709558000
 8787710525021 ,DF ,BRASILIA ,ITAPOA PARQUE ,"QUADRA 301, N. SN, Apto 2, BL D2 ","154.730,00","154.730,00",0.00,"Apartamento, 0.00 de área total, 59.85 de área privativa, 0.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710525021
 8787700861185 ,DF ,BRASILIA ,SETOR INDUSTRIAL (TAGUATINGA) ,"QUADRA QI 24, N. S/N, Apto 1608, LT 14A27. TORRE A. VG 119. ","300.000,00","300.000,00",0.00,"Apartamento, 0.00 de área total, 52.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700861185
